,HighestSiteWideabatement_volreductions_type,abatement_range,HighestSiteWideabatement_volreductions
1,Casinggasflare,"(0.0, 10.0]",21334819.83951423
2,Casinggasflare,"(10.0, 20.0]",1456726.3816589576
3,Casinggasflare,"(20.0, 30.0]",149339.40991157372
12,Casinggastiein,"(-10.001, 0.0]",745286.5024378224
13,Casinggastiein,"(0.0, 10.0]",793695.3907875282
14,Casinggastiein,"(10.0, 20.0]",140931.44453461247
15,Casinggastiein,"(20.0, 30.0]",116694.12877418929
16,Casinggastiein,"(30.0, 50.0]",75122.53022308374
17,Casinggastiein,"(50.0, 100.0]",90922.80568715707
18,Casinggastiein,"(100.0, 200.0]",32016.924345369116
19,Casinggastiein,"(200.0, 300.0]",11768.02763412951
20,Casinggastiein,"(300.0, 400.0]",8458.954686729967
22,Casinggastiein,"(500.0, 1000.0]",8612.355419390873
35,Gasbladdertruck,"(1000.0, 9000.0]",2365526.9551926926
39,PneuGDflare,"(20.0, 30.0]",16419115.643279001
40,PneuGDflare,"(30.0, 50.0]",7068187.553033664
41,PneuGDflare,"(50.0, 100.0]",46038413.53987751
42,PneuGDflare,"(100.0, 200.0]",21919334.25968785
43,PneuGDflare,"(200.0, 300.0]",3727692.9111628802
44,PneuGDflare,"(300.0, 400.0]",4727106.175556111
45,PneuGDflare,"(400.0, 500.0]",799885.8785536214
46,PneuGDflare,"(500.0, 1000.0]",3896080.92701465
47,PneuGDflare,"(1000.0, 9000.0]",3110534.1397956354
49,PneuGDvent,"(0.0, 10.0]",1837580.207372467
50,PneuGDvent,"(10.0, 20.0]",143338.9286021792
51,PneuGDvent,"(20.0, 30.0]",435089.21611503465
52,PneuGDvent,"(30.0, 50.0]",683309.0569624394
53,PneuGDvent,"(50.0, 100.0]",457263.2876504195
54,PneuGDvent,"(100.0, 200.0]",140441.68254536646
55,PneuGDvent,"(200.0, 300.0]",30008.31910427293
56,PneuGDvent,"(300.0, 400.0]",21567.825709919845
57,PneuGDvent,"(400.0, 500.0]",652.0047834334371
58,PneuGDvent,"(500.0, 1000.0]",14081.945415410994
73,VRUVapcombGrid,"(0.0, 10.0]",143240967.87249887
74,VRUVapcombGrid,"(10.0, 20.0]",4862103.763690902
75,VRUVapcombGrid,"(20.0, 30.0]",3458114.3490387253
76,VRUVapcombGrid,"(30.0, 50.0]",3444624.2877898
77,VRUVapcombGrid,"(50.0, 100.0]",1655209.8438173085
78,VRUVapcombGrid,"(100.0, 200.0]",905483.871283568
